nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Goa Pindul,-7.9310483,110.6479201,"Goa Pindul, Jalan Goa Pindul, Bejiharjo, Karangmojo, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55891, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
Goa Rang Reng,-8.5162049,115.3313046,"Goa Rang Reng, Angkling, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar
Grand Indonesia Shopping Town,-6.1957452,106.8215929,"Grand Indonesia Shopping Town, Jalan Teluk Betung, RW 07, Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10230, Indonesia",,Daerah Khusus ibukota Jakarta
Grand Indonesia,-6.1957452,106.8215929,"Grand Indonesia Shopping Town, Jalan Teluk Betung, RW 07, Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10230, Indonesia",,Daerah Khusus ibukota Jakarta
Grand Mall Makassar,-5.0504787,119.5536309,"Grand Mall, Jalan Poros Makassar - Maros, RW 06 Baniaga Desa Taroada, RW 04 Dusun Padang Sessere, Maros, Kelurahan Hasanuddin, Sulawesi Selatan, Sulawesi, 90552, Indonesia",Sulawesi Selatan,Kelurahan Hasanuddin
Gunung Agung,-8.3428923,115.5072076,"Gunung Agung, Kecamatan Bebandem, Karangasem, Bali, Nusa Tenggara, Indonesia",Bali,Karangasem
Gunung Batur,-8.2394154,115.3779603,"Gunung Batur, Bangli, Bali, Nusa Tenggara, Indonesia",Bali,Bangli
Gunung Betung,1.4,112.333333,"Gunung Betung, Embaloh Hulu, Kapuas Hulu, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Kapuas Hulu
Gunung Betung,-5.433333,105.166667,"Gunung Betung, Sumber Agung, Pesawaran, Lampung, Sumatera, Indonesia",Lampung,Pesawaran
Gunung Bromo,-7.9420691,112.9529769,"Gunung Bromo, Road to Bromo, Cemoro Lawang, Probolinggo, Jawa Timur, Jawa, 67254, Indonesia",Jawa Timur,Probolinggo
Gunung Burangrang,-6.7740399,107.5556983,"Gunung Burangrang, Purwakarta, Jawa Barat, Jawa, 40551, Indonesia",Jawa Barat,Purwakarta
Gunung Dempo,-4.0155065,103.1279874,"Gunung Dempo, Tanjung Sakti Pumi, Lahat, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Tanjung Sakti Pumi
Gunung Gamalama,0.8098795,127.3323425,"Gunung Gamalama, Ternate, Maluku Utara, Maluku, Indonesia",Maluku Utara,Ternate
Gunung Ternate,0.8098795,127.3323425,"Gunung Gamalama, Ternate, Maluku Utara, Maluku, Indonesia",Maluku Utara,Ternate
Gunung Tambrauw,-1.0278609,132.5288679,"Gunung Kabek, Tambrauw, Papua Barat Daya, Western New Guinea, Indonesia",Papua Barat Daya,Tambrauw
Gunung Karacak,-7.2692,107.9719,"Gunung Karacak, Garut, Jawa Barat, Jawa, Indonesia",Jawa Barat,Garut
Gunung Karang,-6.2731994,106.0468065,"Gunung Karang, Pandeglang, Banten, Jawa, Indonesia",Banten,Pandeglang
Gunung Kelimutu,-8.7651702,121.8133427,"Gunung Kelimutu, Ende, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Ende
Gunung Klabat,1.4530396,125.0312101,"Gunung Klabat, Klabat, Minahasa Utara, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Minahasa Utara
Gunung Lawu,-7.627382,111.1943158,"Gunung Lawu, Gunung Lawu Track via Cemoro Kandang, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Karanganyar
Gunung Merapi,-7.5412887,110.4462006,"Gunung Merapi, Hargobinangun, Pakem, Sleman, Daerah Istimewa Yogyakarta, Jawa, Indonesia",Daerah Istimewa Yogyakarta,Hargobinangun
Gunung Merbabu,-7.4524377,110.4408198,"Gunung Merbabu, Boyolali, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Boyolali
Gunung Papandayan,-6.3264787,108.3338984,"Gunung Papandayan, Indramayu, Jawa Barat, Jawa, 45211, Indonesia",Jawa Barat,Indramayu
